Date	Observation
2601	0
2598	-0.13
2595	0.15
2592	-0.13571429
2589	-0.26555556
2586	-0.072727273
2583	-0.14769231
2580	-0.16333333
2577	-0.12941176
2574	-0.046842105
2571	-0.065238095
2568	-0.062608696
2565	-0.018
2562	0.078888889
2559	-0.05
2556	-0.067741935
2553	-0.12606061
2550	-0.27342857
2547	-0.69810811
2544	0.67102564
2541	0.026097561
2538	0.35465116
2535	0.10377778
2532	0.53574468
2529	0.5722449
2526	0.59941176
2523	0.10962264
2520	-0.23636364
2517	-0.24596491
2514	-0.15322034
2511	-0.055245902
2508	0.027460317
2505	0.12261538
2502	0.2119403
2499	0.29289855
2496	0.38450704
2493	0.46863014
2490	0.56053333
2487	0.6374026
2484	0.72734177
2481	0.35
2478	0.089759036
2475	-0.35
2472	-0.49586207
2469	-0.23786517
2466	-0.30868132
2463	-0.1316129
2460	-0.22547368
2457	0.026804124
2454	-0.14242424
2451	0.40029703
2448	0.42
2445	0.74904762
2442	0.70046729
2439	0.34458716
2436	-0.11324324
2433	-0.26929204
2430	-0.176
2427	-0.37350427
2424	-0.18588235
2421	-0.13041322
2418	0.03601626
2415	-0.06256
2412	-0.11874016
2409	-0.069922481
2406	0.10946565
2403	0.064586466
2400	0.000296296
2397	0.045182482
2394	0.086618705
2391	-0.091276596
2388	-0.1
2385	-0.091172414
2382	-0.084761905
2379	0.028993289
2376	0.12192053
2373	0.17339869
2370	0.12032258
2367	-0.06611465
2364	-0.13842767
2361	-0.032795031
2358	0.029141104
2355	0.030121212
2352	-0.009580838
2349	0.027869822
2346	-0.74672515
2343	-0.46289017
2340	-0.35062857
2337	-0.39468927
2334	-0.53837989
2331	-0.36066298
2328	-0.3395082
2325	-0.40064865
2322	-0.35283422
2319	-0.33412698
2316	-0.26429319
2313	-0.072953368
2310	-0.049487179
2307	-0.1357868
2304	-0.26427136
2301	-0.11422886
2298	-0.20724138
2295	0.11985366
2292	-0.017487923
2289	0.004449761
2286	-0.035924171
2283	-0.22793427
2280	-0.24153488
2277	-0.33525346
2274	-0.23547945
2271	-0.14420814
2268	-0.202287
2265	-0.38195556
2262	-0.20215859
2259	-0.32371179
2256	-0.27606061
2253	-0.17858369
2250	0.009702128
2247	0.098101266
2244	0.16456067
2241	0.19962656
2238	0.10703704
2235	0.14714286
2232	-0.26255061
2229	-0.094738956
2226	-0.39485944
2223	-0.27546185
2220	-0.12497992
2217	0.083574297
2214	-0.17903614
2211	0.059196787
2208	0.25638554
2205	0.18433735
2202	0.26297189
2199	0.11257028
2196	0.22196787
2193	0.28012048
2190	-0.030803213
2187	-0.36044177
2184	-0.21048193
2181	-0.28120482
2178	-0.18196787
2175	-0.20405622
2172	-0.068473896
2169	0.022690763
2166	0.11104418
2163	0.20108434
2160	0.35032129
2157	0.37172691
2154	0.44353414
2151	0.43670683
2148	0.52875502
2145	0.60959839
2142	0.55943775
2139	-0.23072289
2136	-0.41128514
2133	-0.29200803
2130	0.0862249
2127	0.12445783
2124	0.29309237
2121	0.25253012
2118	-0.17694779
2115	-0.28554217
2112	-0.19369478
2109	-0.11100402
2106	-0.11052209
2103	-0.081204819
2100	0.066586345
2097	0.21333333
2094	0.34128514
2091	0.28959839
2088	0.40871486
2085	0.5064257
2082	0.59497992
2079	0.61176707
2076	0.35080321
2073	0.22951807
2070	0.16008032
2067	0.37156627
2064	0.22208835
2061	0.071004016
2058	-0.23164659
2055	-0.10228916
2052	-0.12381526
2049	0.20522088
2046	0.18361446
2043	0.09248996
2040	0.040321285
2037	0.06811245
2034	0.11582329
2031	-0.22586345
2028	-0.28738956
2025	-0.11963855
2022	-0.34096386
2019	-0.49128514
2016	-0.50100402
2013	-0.39064257
2010	-0.27196787
2007	-0.20212851
2004	-0.17164659
2001	-0.011124498
1998	0.30963855
1995	0.13012048
1992	0.34
1989	0.089638554
1986	-0.21931727
1983	-0.48787149
1980	-0.39658635
1977	-0.16582329
1974	-0.035381526
1971	-0.048353414
1968	0.048714859
1965	0.20730924
1962	0.32590361
1959	0.27345382
1956	0.38096386
1953	0.24839357
1950	0.015662651
1947	-0.14726908
1944	-0.17104418
1941	-0.30232932
1938	-0.38156627
1935	-0.24208835
1932	-0.17301205
1929	-0.10401606
1926	-0.11421687
1923	-0.045060241
1920	-0.024899598
1917	0.17413655
1914	0.12200803
1911	0.20907631
1908	0.20546185
1905	0.1624498
1902	0.1097992
1899	0.068554217
1896	0.018192771
1893	0.137751
1890	0.25606426
1887	0.36550201
1884	0.44277108
1881	0.51959839
1878	0.30759036
1875	0.096024096
1872	-0.074457831
1869	-0.17349398
1866	-0.2715261
1863	-0.01939759
1860	0.1626506
1857	0.17293173
1854	0.083975904
1851	-0.0862249
1848	-0.25594378
1845	-0.11477912
1842	0.016626506
1839	-0.005301205
1836	0.19393574
1833	0.013493976
1830	-0.11763052
1827	-0.30606426
1824	-0.21381526
1821	0.1388755
1818	0.011927711
1815	-0.17654618
1812	-0.21598394
1809	-0.066305221
1806	-0.10738956
1803	0.091526104
1800	0.26927711
1797	0.27759036
1794	0.35558233
1791	0.25449799
1788	0.18465863
1785	0.065421687
1782	-0.002730924
1779	-0.31016064
1776	-0.49686747
1773	-0.52333333
1770	-0.29044177
1767	-0.20771084
1764	-0.018473896
1761	0.10032129
1758	0.44787149
1755	0.53706827
1752	0.51598394
1749	0.40514056
1746	0.21433735
1743	0.081967871
1740	0.050281124
1737	-0.071566265
1734	0.09815261
1731	0.12759036
1728	0.068514056
1725	0.17060241
1722	0.12204819
1719	-0.045261044
1716	-0.075461847
1713	0.17445783
1710	0.21473896
1707	0.4853012
1704	0.46594378
1701	0.56598394
1698	0.43582329
1695	0.15538153
1692	0.037108434
1689	-0.021365462
1686	0.20931727
1683	-0.20172691
1680	-0.18277108
1677	-0.13437751
1674	0.08502008
1671	0.13429719
1668	0.29293173
1665	0.24176707
1662	0.31048193
1659	0.33907631
1656	0.25738956
1653	0.37646586
1650	0.19698795
1647	-0.014096386
1644	-0.34610442
1641	-0.37835341
1638	0.048915663
1635	-0.23317269
1632	-0.27453815
1629	-0.18618474
1626	-0.1875502
1623	-0.16803213
1620	-0.20883534
1617	-0.21690763
1614	-0.45301205
1611	-0.49188755
1608	-0.45228916
1605	-0.3624498
1602	-0.24257028
1599	-0.16329317
1596	0.11590361
1593	-0.14534137
1590	-0.18638554
1587	-0.067108434
1584	0.12180723
1581	0.16084337
1578	0.13947791
1575	0.23811245
1572	0.46650602
1569	-0.084497992
1566	-0.40566265
1563	-0.067188755
1560	-0.058594378
1557	-0.16991968
1554	-0.22028112
1551	-0.15048193
1548	-0.070401606
1545	0.069558233
1542	0.38044177
1539	0.54140562
1536	0.52329317
1533	0.36497992
1530	0.18650602
1527	-0.063092369
1524	-0.19289157
1521	-0.23281124
1518	-0.10240964
1515	-0.20212851
1512	0.21851406
1509	0.37935743
1506	0.18919679
1503	0.26863454
1500	0.086425703
1497	-0.2064257
1494	-0.41827309
1491	-0.55196787
1488	-0.49321285
1485	-0.46184739
1482	-0.48100402
1479	-0.47116466
1476	-0.47253012
1473	-0.54542169
1470	-0.39706827
1467	0.17204819
1464	0.12124498
1461	0.24108434
1458	0.34076305
1455	-0.25012048
1452	-0.57128514
1449	-0.57124498
1446	-0.59903614
1443	-0.52690763
1440	-0.61554217
1437	-0.24449799
1434	-0.12337349
1431	-0.024216867
1428	0.24441767
1425	0.24385542
1422	0.41333333
1419	0.27353414
1416	0.053212851
1413	0.052248996
1410	-0.19967871
1407	-0.31212851
1404	-0.50518072
1401	-0.47738956
1398	-0.23907631
1395	-0.25024096
1392	-0.17124498
1389	-0.2411245
1386	0.18879518
1383	0.15971888
1380	0.27044177
1377	0.38172691
1374	0.33196787
1371	0.29248996
1368	0.012730924
1365	0.14228916
1362	-0.16895582
1359	-0.099036145
1356	-0.43919679
1353	-0.57963855
1350	-0.26947791
1347	-0.44947791
1344	0.21907631
1341	0.30763052
1338	0.31630522
1335	0.3348996
1332	0.33594378
1329	0.22835341
1326	0.16216867
1323	0.16590361
1320	-0.16108434
1317	-0.25971888
1314	-0.19987952
1311	-0.068875502
1308	0.060803213
1305	0.17975904
1302	0.25799197
1299	0.2673494
1296	0.33586345
1293	0.2348996
1290	0.29325301
1287	0.372249
1284	0.1015261
1281	-0.14875502
1278	-0.33811245
1275	-0.15855422
1272	-0.079919679
1269	-0.032931727
1266	0.19293173
1263	0.15052209
1260	0.036666667
1257	0.1324498
1254	0.21843373
1251	0.31389558
1248	0.20907631
1245	-0.26610442
1242	-1.0095582
1239	-0.63345382
1236	-0.52554217
1233	-0.49678715
1230	-0.27722892
1227	0.003052209
1224	0.012971888
1221	0.2235743
1218	0.33405622
1215	0.37393574
